freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.734e+03,5.599e+03,1.976e+02,9.530e+03
1.2,2.025e+04,2.769e+04,9.237e+02,4.887e+04
2.5,2.133e+04,2.812e+04,1.072e+03,5.052e+04
3.7,1.626e+04,2.099e+04,9.547e+02,3.821e+04
5.0,1.951e+04,2.593e+04,9.632e+02,4.640e+04
6.2,2.273e+04,2.983e+04,9.955e+02,5.356e+04
7.5,1.889e+04,2.620e+04,9.933e+02,4.608e+04
8.7,1.733e+04,2.498e+04,9.344e+02,4.324e+04
10.0,1.846e+04,2.540e+04,1.012e+03,4.487e+04
11.2,1.955e+04,2.695e+04,9.874e+02,4.749e+04
12.5,1.938e+04,2.598e+04,9.548e+02,4.632e+04
13.7,2.149e+04,2.888e+04,9.860e+02,5.135e+04
14.9,2.135e+04,2.792e+04,1.089e+03,5.036e+04
16.2,2.368e+04,2.875e+04,1.233e+03,5.366e+04
17.4,2.352e+04,2.935e+04,1.192e+03,5.405e+04
18.7,2.290e+04,3.107e+04,1.119e+03,5.509e+04
19.9,2.386e+04,3.208e+04,1.092e+03,5.703e+04
21.2,2.629e+04,3.253e+04,1.141e+03,5.996e+04
22.4,2.983e+04,3.735e+04,1.214e+03,6.839e+04
23.7,3.191e+04,4.162e+04,1.344e+03,7.487e+04
24.9,3.384e+04,4.822e+04,1.359e+03,8.342e+04
26.1,3.242e+04,4.252e+04,1.447e+03,7.639e+04
27.4,3.862e+04,4.805e+04,1.610e+03,8.829e+04
28.6,3.820e+04,5.003e+04,1.507e+03,8.974e+04
29.9,3.921e+04,5.252e+04,1.422e+03,9.315e+04
31.1,4.137e+04,5.539e+04,1.607e+03,9.836e+04
32.4,4.816e+04,6.379e+04,2.004e+03,1.140e+05
33.6,4.377e+04,5.985e+04,1.761e+03,1.054e+05
34.9,4.249e+04,5.738e+04,1.610e+03,1.015e+05
36.1,4.666e+04,6.602e+04,1.845e+03,1.145e+05
37.4,5.570e+04,7.609e+04,1.906e+03,1.337e+05
38.6,6.028e+04,7.641e+04,1.848e+03,1.385e+05
39.8,6.321e+04,7.666e+04,2.023e+03,1.419e+05
41.1,7.366e+04,8.728e+04,1.861e+03,1.628e+05
42.3,7.251e+04,8.954e+04,1.907e+03,1.640e+05
43.6,5.565e+04,7.103e+04,1.880e+03,1.286e+05
44.8,7.461e+04,8.956e+04,1.814e+03,1.660e+05
46.1,8.291e+04,9.604e+04,1.944e+03,1.809e+05
47.3,1.187e+05,1.339e+05,2.188e+03,2.547e+05
48.6,1.734e+05,1.934e+05,2.875e+03,3.697e+05
49.8,1.479e+05,1.686e+05,3.413e+03,3.199e+05
51.0,2.172e+05,2.504e+05,5.517e+03,4.732e+05
52.3,2.671e+05,3.063e+05,8.286e+03,5.817e+05
53.5,2.547e+05,2.837e+05,8.699e+03,5.472e+05
54.8,2.497e+05,2.770e+05,9.497e+03,5.362e+05
56.0,3.006e+05,3.379e+05,9.494e+03,6.480e+05
57.3,2.387e+05,2.722e+05,6.172e+03,5.171e+05
58.5,1.717e+05,1.848e+05,4.639e+03,3.612e+05
59.8,1.794e+05,1.867e+05,4.728e+03,3.708e+05
61.0,1.351e+05,1.478e+05,4.245e+03,2.871e+05
62.3,1.509e+05,1.687e+05,4.104e+03,3.237e+05
63.5,1.558e+05,1.797e+05,3.539e+03,3.391e+05
64.7,1.120e+05,1.316e+05,2.812e+03,2.464e+05
66.0,8.660e+04,1.075e+05,2.499e+03,1.966e+05
67.2,1.107e+05,1.298e+05,2.849e+03,2.433e+05
68.5,1.233e+05,1.382e+05,3.498e+03,2.650e+05
69.7,1.367e+05,1.479e+05,4.602e+03,2.892e+05
71.0,1.570e+05,1.579e+05,7.052e+03,3.220e+05
72.2,1.983e+05,1.810e+05,9.311e+03,3.886e+05
73.5,1.856e+05,1.734e+05,9.159e+03,3.681e+05
74.7,2.506e+05,2.356e+05,1.218e+04,4.983e+05
75.9,2.583e+05,2.681e+05,1.355e+04,5.399e+05
77.2,2.668e+05,2.895e+05,1.496e+04,5.712e+05
78.4,2.046e+05,2.416e+05,1.278e+04,4.590e+05
79.7,1.866e+05,2.260e+05,1.260e+04,4.251e+05
80.9,2.115e+05,2.633e+05,1.480e+04,4.896e+05
82.2,1.448e+05,1.963e+05,1.133e+04,3.524e+05
83.4,9.969e+04,1.568e+05,8.833e+03,2.653e+05
84.7,1.125e+05,2.049e+05,1.134e+04,3.287e+05
85.9,1.020e+05,2.084e+05,1.069e+04,3.212e+05
87.2,6.550e+04,1.539e+05,7.246e+03,2.267e+05
88.4,5.815e+04,1.426e+05,6.193e+03,2.069e+05
89.6,5.626e+04,1.588e+05,6.179e+03,2.212e+05
90.9,4.999e+04,1.297e+05,5.526e+03,1.852e+05
92.1,5.534e+04,1.187e+05,5.533e+03,1.796e+05
93.4,5.852e+04,1.216e+05,5.368e+03,1.854e+05
94.6,6.412e+04,9.408e+04,4.919e+03,1.631e+05
95.9,5.988e+04,8.177e+04,4.796e+03,1.464e+05
97.1,7.691e+04,7.265e+04,5.495e+03,1.551e+05
98.4,7.054e+04,6.938e+04,5.098e+03,1.450e+05
99.6,6.802e+04,6.744e+04,5.611e+03,1.411e+05
100.9,6.169e+04,6.149e+04,6.226e+03,1.294e+05
102.1,6.204e+04,6.666e+04,6.696e+03,1.354e+05
103.3,6.655e+04,7.687e+04,8.422e+03,1.518e+05
104.6,5.898e+04,9.082e+04,7.550e+03,1.574e+05
105.8,3.965e+04,8.719e+04,7.435e+03,1.343e+05
107.1,4.012e+04,8.872e+04,8.653e+03,1.375e+05
108.3,4.555e+04,8.731e+04,8.147e+03,1.410e+05
109.6,5.037e+04,1.029e+05,1.080e+04,1.641e+05
110.8,4.315e+04,9.884e+04,9.512e+03,1.515e+05
